2,	668,668,668,668,668,668
3,	669,669,669,669,669,669
;------- Goblins Cave 1 -------
4,  	1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
5,  	2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
6,  	2, 2, 2, 2, 3, 3, 7
7,  	2, 3, 3, 3, 4, 8
8,  	2, 2, 2, 3, 4, 5
9,  	5, 5, 5, 6, 6
10,  	10, 3, 3, 3
11,  	10, 2, 2, 2
12,  	6, 6, 6, 7, 7
13,  	5, 5, 5, 6, 6
14,  	9, 9
15,  	10, 3, 4
;------- Goblins Cave 2 -------
16, 	24
17, 	23
18, 	22, 12
19, 	21, 12
20, 	20, 11, 11
21, 	19, 11, 11, 12
22, 	18, 13, 13, 11
23, 	17, 9, 9, 9, 10
24, 	16, 11, 11, 12, 11
25, 	15, 15, 15, 10, 11
26, 	14, 10, 10, 10, 10, 10
27, 	12, 12, 12, 12, 12
;--------- Taj Isha ------------	, 	
28,	78, 78, 78, 80
29,	79, 79, 78, 78
30,	80, 80, 78, 79
31,	81, 81, 78, 79
32,	78, 79, 80, 81
33,	80, 80, 81, 79
;--------- Tahamanraset Palace ------------	, 	
34,	91, 92, 93, 94, 95
35,	91, 92, 93, 94
36,	92, 93, 94, 95
37,	91, 92, 93
38,	91, 92, 94
39,	91, 92, 95
40,	92, 93, 95
;--------- Thanaris Galleries ------------	, 	
41,	337, 337, 337, 337, 339, 339

